,GI,TG,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 29.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,7.4,$0.17,"2,337.8",$268.54,52.4,$660.93,6.1,"26,329.1","3,577.8",$31.97,13.6,1.9,4.5,30.9,1.7,0.3,0.2,0.7
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 40.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,12.9,$0.30,"2,337.8",$268.54,52.4,$660.93,14.7,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 34.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,9.7,$0.23,"2,337.8",$268.54,52.4,$660.93,9.4,"26,329.1","3,577.8",$31.97,14.1,1.9,4.7,30.9,1.7,0.3,0.2,0.7
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,7.8,$0.18,"2,337.8",$268.54,52.4,$660.93,6.7,"26,329.1","3,577.8",$31.97,13.7,1.9,4.5,30.9,1.7,0.3,0.2,0.7
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 44.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,15.2,$0.35,"2,337.8",$268.54,52.4,$660.93,19.1,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 41.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,13.5,$0.31,"2,337.8",$268.54,52.4,$660.93,15.7,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 27.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,6.5,$0.15,"2,337.8",$268.54,52.4,$660.93,5.0,"26,329.1","3,577.8",$31.97,13.4,1.9,4.4,30.9,1.6,0.3,0.2,0.7
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 43.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,14.6,$0.34,"2,337.8",$268.54,52.4,$660.93,17.9,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 32.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,8.8,$0.20,"2,337.8",$268.54,52.4,$660.93,8.0,"26,329.1","3,577.8",$31.97,13.9,1.9,4.6,30.9,1.7,0.3,0.2,0.7
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 56.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,23.1,$0.54,"2,337.8",$268.54,52.4,$660.93,36.9,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 26.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,6.1,$0.14,"2,337.8",$268.54,52.4,$660.93,4.5,"26,290.2","3,572.5",$31.92,13.3,1.9,4.3,30.9,1.6,0.3,0.2,0.6
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 23.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,4.9,$0.12,"2,337.8",$268.54,52.4,$660.93,3.2,"25,475.7","3,461.8",$30.93,12.5,1.9,4.1,30.9,1.5,0.3,0.2,0.6
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 39.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,12.3,$0.29,"2,337.8",$268.54,52.4,$660.93,13.7,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 28.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,7.0,$0.16,"2,337.8",$268.54,52.4,$660.93,5.6,"26,329.1","3,577.8",$31.97,13.5,1.9,4.4,30.9,1.6,0.3,0.2,0.7
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 38.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,11.8,$0.27,"2,337.8",$268.54,52.4,$660.93,12.8,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 25.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,5.7,$0.13,"2,337.8",$268.54,52.4,$660.93,4.1,"26,135.2","3,551.4",$31.74,13.1,1.9,4.3,30.9,1.6,0.3,0.2,0.6
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 22.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,4.6,$0.11,"2,337.8",$268.54,52.4,$660.93,2.9,"24,975.7","3,393.8",$30.33,12.2,1.9,3.9,30.9,1.5,0.3,0.2,0.6
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 70.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,34.0,$0.79,"2,337.8",$268.54,52.4,$660.93,67.8,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 46.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,16.4,$0.38,"2,337.8",$268.54,52.4,$660.93,21.6,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 37.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,11.3,$0.26,"2,337.8",$268.54,52.4,$660.93,11.9,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 40.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,17.0,$0.40,"2,447.5",$281.14,52.4,$660.93,14.7,"34,822.4","4,731.9",$42.28,20.1,1.9,6.8,31.2,2.4,0.3,0.2,1.1
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 41.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,21.7,$0.50,"2,546.3",$292.48,52.4,$660.93,15.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 53.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,33.8,$0.79,"2,546.3",$292.48,52.4,$660.93,31.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 56.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,37.2,$0.87,"2,546.3",$292.48,52.4,$660.93,36.9,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,574.3,$13.36,"2,546.3",$292.48,52.4,$660.93,2.3,"38,432.2","5,222.4",$46.67,21.5,1.9,7.2,31.5,2.6,0.3,0.2,1.2
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 39.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,19.9,$0.46,"2,546.3",$292.48,52.4,$660.93,13.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 63.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,45.6,$1.06,"2,546.3",$292.48,52.4,$660.93,50.9,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 43.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,23.6,$0.55,"2,546.3",$292.48,52.4,$660.93,17.9,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 60.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,41.9,$0.98,"2,546.3",$292.48,52.4,$660.93,44.5,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 67.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,50.8,$1.18,"2,546.3",$292.48,52.4,$660.93,60.2,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 54.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,35.0,$0.81,"2,546.3",$292.48,52.4,$660.93,33.4,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 59.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,40.7,$0.95,"2,546.3",$292.48,52.4,$660.93,42.5,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,399.6,$9.29,"2,337.8",$268.54,52.4,$660.93,2.3,"23,770.8","3,230.1",$28.86,11.5,1.9,3.7,30.9,1.4,0.3,0.2,0.5
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 31.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,8.3,$0.19,"2,337.8",$268.54,52.4,$660.93,7.3,"26,329.1","3,577.8",$31.97,13.8,1.9,4.6,30.9,1.7,0.3,0.2,0.7
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 21.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,4.2,$0.10,"2,337.8",$268.54,52.4,$660.93,2.5,"24,366.5","3,311.1",$29.59,11.8,1.9,3.8,30.9,1.5,0.3,0.2,0.5
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 53.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,21.0,$0.49,"2,337.8",$268.54,52.4,$660.93,31.7,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 60.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,26.0,$0.60,"2,337.8",$268.54,52.4,$660.93,44.5,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 49.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,29.5,$0.69,"2,546.3",$292.48,52.4,$660.93,25.6,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 57.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,38.4,$0.89,"2,546.3",$292.48,52.4,$660.93,38.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 47.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,27.5,$0.64,"2,546.3",$292.48,52.4,$660.93,22.9,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 70.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,54.8,$1.27,"2,546.3",$292.48,52.4,$660.93,67.8,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 51.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,31.7,$0.74,"2,546.3",$292.48,52.4,$660.93,28.6,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 58.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,39.6,$0.92,"2,546.3",$292.48,52.4,$660.93,40.6,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 93.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,89.6,$2.08,"2,546.3",$292.48,52.4,$660.93,147.4,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 77.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,64.6,$1.50,"2,546.3",$292.48,52.4,$660.93,88.0,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 130.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,159.9,$3.72,"2,546.3",$292.48,52.4,$660.93,367.8,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 82.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,72.0,$1.68,"2,546.3",$292.48,52.4,$660.93,104.5,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 120.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,139.2,$3.24,"2,546.3",$292.48,52.4,$660.93,295.6,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 74.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,60.3,$1.40,"2,546.3",$292.48,52.4,$660.93,78.9,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 72.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,57.5,$1.34,"2,546.3",$292.48,52.4,$660.93,73.3,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 64.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,46.9,$1.09,"2,546.3",$292.48,52.4,$660.93,53.1,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 62.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,44.4,$1.03,"2,546.3",$292.48,52.4,$660.93,48.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 65.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,48.2,$1.12,"2,546.3",$292.48,52.4,$660.93,55.4,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 35.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,10.2,$0.24,"2,337.8",$268.54,52.4,$660.93,10.2,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 54.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,21.7,$0.50,"2,337.8",$268.54,52.4,$660.93,33.4,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 52.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,20.3,$0.47,"2,337.8",$268.54,52.4,$660.93,30.1,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 51.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,19.6,$0.46,"2,337.8",$268.54,52.4,$660.93,28.6,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 55.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,22.4,$0.52,"2,337.8",$268.54,52.4,$660.93,35.1,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 50.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,19.0,$0.44,"2,337.8",$268.54,52.4,$660.93,27.1,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 33.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,9.2,$0.21,"2,337.8",$268.54,52.4,$660.93,8.7,"26,329.1","3,577.8",$31.97,14.0,1.9,4.6,30.9,1.7,0.3,0.2,0.7
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 47.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,17.0,$0.40,"2,337.8",$268.54,52.4,$660.93,22.9,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 80.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,69.0,$1.61,"2,546.3",$292.48,52.4,$660.93,97.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
9,8,"(1) Locust, Black (Robinia pseudoacacia)  at 16.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"3,027.2",$70.40,"2,546.3",$292.48,52.4,$660.93,1.9,"34,874.3","4,738.9",$42.35,19.7,1.9,6.6,31.5,2.4,0.3,0.2,1.1
10,9,"(1) Locust, Black (Robinia pseudoacacia)  at 100.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,101.6,$2.36,"2,546.3",$292.48,52.4,$660.93,179.7,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
11,10,"(1) Locust, Black (Robinia pseudoacacia)  at 115.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,129.3,$3.01,"2,546.3",$292.48,52.4,$660.93,263.2,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
2,1,"(1) Locust, Black (Robinia pseudoacacia)  at 105.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,110.5,$2.57,"2,546.3",$292.48,52.4,$660.93,205.3,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
3,2,"(1) Locust, Black (Robinia pseudoacacia)  at 52.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,32.7,$0.76,"2,546.3",$292.48,52.4,$660.93,30.1,"42,466.3","5,770.6",$51.57,24.7,1.9,8.4,31.5,3.0,0.3,0.2,1.4
4,3,"(1) Locust, Black (Robinia pseudoacacia)  at 49.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,18.3,$0.43,"2,337.8",$268.54,52.4,$660.93,25.6,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
5,4,"(1) Locust, Black (Robinia pseudoacacia)  at 48.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,17.7,$0.41,"2,337.8",$268.54,52.4,$660.93,24.2,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
6,5,"(1) Locust, Black (Robinia pseudoacacia)  at 63.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,28.3,$0.66,"2,337.8",$268.54,52.4,$660.93,50.9,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
7,6,"(1) Locust, Black (Robinia pseudoacacia)  at 45.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,15.8,$0.37,"2,337.8",$268.54,52.4,$660.93,20.3,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
8,7,"(1) Locust, Black (Robinia pseudoacacia)  at 68.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,32.3,$0.75,"2,337.8",$268.54,52.4,$660.93,62.7,"26,329.1","3,577.8",$31.97,14.2,1.9,4.7,30.9,1.7,0.3,0.2,0.7
